year,month,day,order,product
2008,4,1,3,C26
2008,4,1,4,C19
2008,4,1,5,C31
2008,4,1,6,C53
2008,4,1,7,A15
2008,4,1,8,A5
2008,4,1,9,A17
2008,4,1,10,A35
2008,4,1,11,A36
2008,4,1,1,A16
2008,4,1,2,B4
2008,4,1,3,B15
2008,4,1,4,C5
2008,4,1,5,C17
2008,4,1,6,C17
2008,4,1,7,A16
2008,4,1,8,B4
2008,4,1,9,B34
2008,4,1,10,C56
2008,4,1,11,C49
2008,4,1,12,C46
2008,4,1,1,A2
2008,4,1,2,A12
2008,4,1,3,P29
2008,4,1,1,A17
2008,4,1,2,A7
2008,4,1,3,A2
2008,4,1,4,A3
2008,4,1,5,P1
2008,4,1,6,P2
2008,4,1,7,A21
2008,4,1,8,A41
2008,4,1,9,P12
2008,4,1,10,P63
2008,4,1,11,P48
2008,4,1,12,P30
2008,4,1,13,P32
2008,4,1,14,P66
2008,4,1,15,P57
2008,4,1,16,P12
2008,4,1,17,B3
2008,4,1,18,P50
2008,4,1,19,P43
2008,4,1,20,P12
2008,4,1,21,P4
2008,4,1,1,C17
2008,4,1,2,B1
2008,4,1,1,B4
2008,4,1,2,A28
2008,4,1,3,A21
2008,4,1,4,A16
2008,4,1,5,A11
2008,4,1,1,P16
2008,4,1,2,P16
2008,4,1,1,B30
2008,4,1,2,B28
2008,4,1,3,B31
2008,4,1,4,A8
2008,4,1,5,A1
2008,4,1,6,A11
2008,4,1,7,P15
2008,4,1,1,P16
2008,4,1,2,P33
2008,4,1,3,A11
2008,4,1,4,A5
2008,4,1,1,C19
2008,4,1,2,A1
2008,4,1,1,A2
2008,4,1,2,A5
2008,4,1,3,A9
2008,4,1,4,A12
2008,4,1,5,A11
2008,4,1,6,B15
2008,4,1,7,B33
2008,4,1,1,A1
2008,4,1,2,A19
2008,4,1,1,A5
2008,4,1,1,B19
2008,4,1,2,B24
2008,4,1,3,B26
2008,4,1,4,B27
2008,4,1,5,B23
2008,4,1,6,B17
2008,4,1,7,B16
2008,4,1,8,B13
2008,4,1,9,B14
2008,4,1,10,B26
2008,4,1,11,B24
2008,4,1,12,B6
2008,4,1,13,B26
2008,4,1,14,B32
2008,4,1,15,B26
2008,4,1,16,B26
2008,4,1,17,B26
2008,4,1,18,B26
2008,4,1,19,B26
2008,4,1,20,B26
2008,4,1,21,B26
2008,4,1,22,B26
2008,4,1,23,B23
2008,4,1,1,A5
2008,4,1,2,A12
2008,4,1,3,B27
2008,4,1,4,B3
2008,4,1,5,B2
2008,4,1,6,B10
2008,4,1,7,B14
2008,4,1,8,B6
2008,4,1,9,C7
2008,4,1,10,C19
2008,4,1,11,C57
2008,4,1,1,A4
2008,4,1,2,A15
2008,4,1,3,A29
2008,4,1,1,A11
2008,4,1,1,B1
2008,4,1,2,B10
2008,4,1,3,B17
2008,4,1,4,P1
2008,4,1,5,P49
2008,4,1,1,A4
2008,4,1,2,P4
2008,4,1,3,P15
2008,4,1,1,B4
2008,4,1,2,B16
2008,4,1,3,B2
2008,4,1,4,B1
2008,4,1,5,B9
2008,4,1,6,C5
2008,4,1,7,C7
2008,4,1,8,C3
2008,4,1,9,C9
2008,4,1,10,C17
2008,4,1,11,C18
2008,4,1,12,C11
2008,4,1,13,C14
2008,4,1,14,C34
2008,4,1,15,C36
2008,4,1,16,C37
2008,4,1,17,C39
2008,4,1,18,C49
2008,4,1,19,C50
2008,4,1,20,C51
2008,4,1,21,C52
2008,4,1,22,C57
2008,4,1,23,C18
2008,4,1,24,A1
2008,4,1,25,A2
2008,4,1,26,A3
2008,4,1,27,A5
2008,4,1,28,A6
2008,4,1,29,A7
2008,4,1,30,A8
2008,4,1,31,A9
2008,4,1,32,A10
2008,4,1,33,A12
2008,4,1,34,A13
2008,4,1,35,A15
2008,4,1,36,A16
2008,4,1,37,A17
2008,4,1,38,A31
2008,4,1,39,A19
2008,4,1,40,A36
2008,4,1,41,A42
2008,4,1,1,B19
2008,4,1,2,B24
2008,4,1,3,B29
2008,4,1,4,B23
2008,4,1,1,A11
2008,4,1,2,A1
2008,4,1,3,A3
2008,4,1,4,A3
2008,4,1,1,A13
2008,4,1,2,B9
2008,4,1,3,B13
2008,4,1,4,B12
2008,4,1,5,A13
2008,4,1,6,B10
2008,4,1,7,B11
2008,4,1,8,P16
2008,4,1,9,P1
2008,4,1,1,A13
2008,4,1,2,A2
2008,4,1,3,A5
2008,4,1,1,P4
2008,4,1,2,P6
2008,4,1,3,P17
2008,4,1,4,P10
2008,4,1,1,P11
2008,4,1,2,P16
2008,4,1,3,P15
2008,4,1,4,P15
2008,4,1,5,C1
2008,4,1,6,C13
2008,4,1,7,C13
2008,4,1,8,C17
2008,4,1,1,A14
2008,4,1,2,A15
2008,4,1,3,A24
2008,4,1,4,A35
2008,4,1,5,B4
2008,4,1,6,B1
2008,4,1,7,B32
2008,4,1,8,C14
2008,4,1,9,P20
2008,4,1,1,P40
2008,4,1,2,P51
2008,4,1,3,P61
2008,4,1,1,P4
2008,4,1,2,P25
2008,4,1,3,A7
2008,4,1,4,A11
2008,4,1,5,A9
2008,4,1,6,A23
2008,4,1,1,C44
2008,4,1,2,C45
2008,4,1,1,C17
2008,4,1,2,A15
2008,4,1,3,A4
2008,4,1,4,B4
2008,4,1,5,B1
2008,4,1,6,B1
2008,4,1,1,A15
2008,4,1,2,B1
2008,4,1,3,B10
2008,4,1,4,B12
2008,4,1,5,B15
2008,4,1,6,B24
2008,4,1,1,A6
2008,4,1,1,C13
2008,4,1,2,C1
2008,4,1,3,C5
2008,4,1,4,C14
2008,4,1,5,C18
2008,4,1,1,B10
2008,4,1,2,B11
2008,4,1,3,B12
2008,4,1,4,B13
2008,4,1,5,B14
2008,4,1,6,B13
2008,4,1,7,B10
2008,4,1,8,B20
2008,4,1,9,B21
2008,4,1,10,B22
2008,4,1,11,B27
2008,4,1,12,B30
2008,4,1,13,B12
2008,4,1,14,B10
2008,4,1,1,A13
2008,4,1,2,A21
2008,4,1,3,A14
2008,4,1,4,A16
2008,4,1,1,B15
2008,4,1,2,A4
2008,4,1,3,A28
2008,4,1,1,A5
2008,4,1,2,A6
2008,4,1,3,A10
2008,4,1,4,A9
2008,4,1,5,A12
2008,4,1,6,A15
2008,4,1,7,A18
2008,4,1,8,A34
2008,4,1,9,A21
2008,4,1,10,A30
2008,4,1,11,B4
2008,4,1,12,B3
2008,4,1,13,B1
2008,4,1,14,B15
2008,4,1,15,B32
2008,4,1,16,B33
2008,4,1,17,C4
2008,4,1,18,C35
2008,4,1,19,C49
2008,4,1,20,C58
2008,4,1,21,C55
2008,4,1,1,A6
2008,4,1,2,B4
2008,4,1,1,A16
2008,4,1,2,C2
2008,4,1,3,C4
2008,4,1,4,C9
2008,4,1,5,C1
2008,4,1,6,A2
2008,4,1,7,B1
2008,4,1,8,C35
2008,4,1,9,C21
2008,4,1,10,C54
2008,4,1,11,C56
2008,4,1,12,B4
2008,4,1,1,B31
2008,4,1,2,B23
2008,4,1,3,B24
2008,4,1,1,A16
2008,4,1,1,C4
2008,4,1,1,A26
2008,4,1,1,A30
2008,4,1,2,A33
2008,4,1,3,A38
2008,4,1,4,A39
2008,4,1,5,P8
2008,4,1,6,P17
2008,4,1,7,P19
2008,4,1,1,B4
2008,4,1,1,P19
2008,4,1,2,C5
2008,4,1,3,P39
2008,4,1,4,P49
2008,4,1,5,P60
2008,4,1,6,P61
2008,4,1,7,P80
2008,4,1,8,P78
2008,4,1,9,P76
2008,4,1,10,P82
2008,4,1,11,P82
2008,4,1,12,A15
2008,4,1,13,A40
2008,4,1,14,C17
2008,4,1,15,P39
2008,4,1,1,B11
2008,4,1,2,B15
2008,4,1,3,B17
2008,4,1,4,B3
2008,4,1,5,B1
2008,4,1,6,B5
2008,4,1,1,C25
2008,4,1,1,A1
2008,4,1,2,A2
2008,4,1,3,A3
2008,4,1,4,A5
2008,4,1,5,P3
2008,4,1,6,P8
2008,4,1,7,P7
2008,4,1,8,P14
2008,4,1,9,P17
2008,4,1,10,P18
2008,4,1,11,P35
2008,4,1,12,P33
2008,4,1,1,P6
2008,4,1,2,C6
2008,4,1,3,A6
2008,4,1,1,P15
2008,4,1,2,B4
2008,4,1,3,B17
2008,4,1,4,B15
2008,4,1,5,B15
2008,4,1,6,B10
2008,4,1,7,B16
2008,4,1,8,P15
2008,4,1,1,A2
2008,4,1,2,A8
2008,4,1,3,A11
2008,4,1,4,A12
2008,4,1,5,B13
2008,4,1,6,B17
2008,4,1,7,C12
2008,4,1,8,C17
2008,4,1,9,C42
2008,4,1,10,P15
2008,4,1,1,P16
2008,4,1,2,P1
2008,4,1,3,P3
2008,4,1,4,P11
2008,4,1,5,P6
2008,4,1,6,C6
2008,4,1,7,C18
2008,4,1,8,C5
2008,4,1,9,P6
2008,4,1,1,B24
2008,4,1,2,B25
2008,4,1,3,B22
2008,4,1,4,C17
2008,4,1,1,C10
2008,4,1,1,C14
2008,4,1,2,C30
2008,4,1,3,C50
2008,4,1,4,A11
2008,4,1,5,A26
2008,4,1,6,A32
2008,4,1,7,A42
2008,4,1,8,B1
2008,4,1,9,B4
2008,4,1,10,B14
2008,4,1,11,B13
2008,4,1,12,B19
2008,4,1,13,B32
2008,4,1,14,B27
2008,4,1,1,A5
2008,4,1,2,A8
2008,4,1,3,A15
2008,4,1,4,P1
2008,4,1,1,P4
2008,4,1,2,P8
2008,4,1,3,P3
2008,4,1,4,C2
2008,4,1,5,C6
2008,4,1,6,C9
2008,4,1,1,C35
2008,4,1,1,P1
2008,4,1,1,A1
2008,4,1,2,C18
2008,4,1,3,C8
2008,4,1,4,B10
2008,4,1,5,P8
2008,4,1,1,A32
2008,4,1,1,A2
2008,4,1,1,P6
2008,4,1,2,P5
2008,4,1,3,A2
2008,4,1,4,A3
2008,4,1,5,A42
2008,4,1,6,A41
2008,4,1,7,P1
2008,4,1,8,P25
2008,4,1,9,P70
2008,4,1,10,P82
2008,4,1,11,B1
2008,4,1,12,B27
2008,4,1,13,B2
2008,4,1,1,C58
2008,4,1,2,C55
2008,4,1,1,B8
2008,4,1,2,B1
2008,4,1,3,B23
2008,4,1,4,C56
2008,4,1,5,A4
2008,4,1,1,P6
2008,4,1,1,C1
2008,4,1,1,P33
2008,4,1,2,P36
2008,4,1,3,P25
2008,4,1,4,B14
2008,4,1,5,B13
2008,4,1,6,B15
2008,4,1,7,B3
2008,4,1,8,B23
2008,4,1,9,B23
2008,4,1,1,A1
2008,4,1,2,A2
2008,4,1,3,P2
2008,4,1,4,P16
2008,4,1,5,P1
2008,4,1,6,P3
2008,4,1,7,A5
2008,4,1,8,C6
2008,4,1,9,C15
2008,4,1,10,C12
2008,4,1,11,C2
2008,4,1,12,P1
2008,4,1,1,B2
2008,4,1,1,A12
2008,4,1,2,P12
2008,4,1,3,C17
2008,4,1,4,C17
2008,4,1,1,A10
2008,4,1,2,A12
2008,4,1,3,A10
2008,4,1,4,A12
2008,4,1,1,B10
2008,4,1,2,B14
2008,4,1,3,B3
2008,4,1,1,B16
2008,4,1,2,B10
2008,4,1,1,P10
2008,4,1,2,P14
2008,4,1,1,A11
2008,4,1,2,A15
2008,4,1,3,A10
2008,4,1,4,A10
2008,4,1,5,A4
2008,4,1,6,B16
2008,4,1,7,B32
2008,4,1,8,C15
2008,4,1,9,C42
2008,4,1,10,C50
2008,4,1,11,P1
2008,4,1,12,P6
2008,4,1,13,P17
2008,4,1,14,P9
2008,4,1,15,P11
2008,4,1,16,P16
2008,4,1,17,P20
2008,4,1,18,P23
2008,4,1,19,P26
2008,4,1,20,P33
2008,4,1,21,P33
2008,4,1,22,P34
2008,4,1,23,P52
2008,4,1,24,P43
2008,4,1,25,P39
2008,4,1,26,P55
2008,4,1,27,P64
2008,4,1,1,A11
2008,4,1,2,P4
2008,4,1,3,P1
2008,4,1,4,P1
2008,4,1,5,P17
2008,4,1,6,P7
2008,4,1,1,A4
2008,4,1,2,A5
2008,4,1,3,A12
2008,4,1,4,B4
2008,4,1,5,B29
2008,4,1,1,A17
2008,4,1,2,C14
2008,4,1,3,P12
2008,4,1,4,P17
2008,4,1,5,P33
2008,4,1,6,P36
2008,4,1,7,P37
2008,4,1,8,P69
2008,4,1,1,B14
2008,4,1,1,B17
2008,4,1,2,B16
2008,4,1,3,B25
2008,4,1,4,B29
2008,4,1,5,B34
2008,4,1,6,P12
2008,4,1,7,P33
2008,4,1,8,A7
2008,4,1,1,A13
2008,4,1,2,B28
2008,4,1,3,B21
2008,4,1,4,B20
2008,4,1,5,B26
2008,4,1,6,B26
2008,4,1,7,B13
2008,4,1,8,C13
2008,4,1,9,C18
2008,4,1,1,A1
2008,4,1,2,A12
2008,4,1,3,A24
2008,4,1,1,C57
2008,4,1,2,A30
2008,4,1,1,A10
2008,4,1,2,A37
2008,4,1,3,B24
2008,4,1,1,C53
2008,4,1,1,A4
2008,4,1,1,B12
2008,4,1,2,C17
2008,4,1,3,C37
2008,4,1,4,C40
2008,4,1,5,A10
2008,4,1,6,A11
2008,4,1,7,A9
2008,4,1,8,A17
2008,4,1,9,A7
2008,4,1,10,A8
2008,4,1,1,A21
2008,4,1,2,A33
2008,4,1,3,A22
2008,4,1,4,B16
2008,4,1,5,B17
2008,4,1,6,B1
2008,4,1,7,B16
2008,4,1,1,A1
2008,4,1,2,A6
2008,4,1,3,A15
2008,4,1,4,B9
2008,4,1,5,C6
2008,4,1,6,C41
2008,4,1,7,B9
2008,4,1,8,A15
2008,4,1,1,A7
2008,4,1,2,A10
2008,4,1,3,P1
2008,4,1,1,C2
2008,4,1,2,P2
2008,4,1,3,P6
2008,4,1,4,P13
2008,4,1,5,P16
2008,4,1,6,P20
2008,4,1,7,P33
2008,4,1,8,C22
2008,4,1,1,P63
2008,4,1,2,P61
2008,4,1,3,A11
2008,4,1,4,A15
2008,4,1,5,A31
2008,4,1,6,B14
2008,4,1,7,C6
2008,4,1,1,A1
2008,4,1,2,A10
2008,4,1,3,A11
2008,4,1,4,A2
2008,4,1,5,A10
2008,4,1,6,A7
2008,4,1,7,A35
2008,4,1,8,A36
2008,4,1,9,A37
2008,4,1,10,A38
2008,4,1,11,A39
2008,4,1,12,A40
2008,4,1,13,B10
2008,4,1,14,B11
2008,4,1,15,B12
2008,4,1,16,B13
2008,4,1,17,B14
2008,4,1,18,B17
2008,4,1,19,B1
2008,4,1,20,B15
2008,4,1,21,B19
2008,4,1,22,B20
2008,4,1,23,B21
2008,4,1,24,B22
2008,4,1,25,B24
2008,4,1,26,B25
2008,4,1,27,B26
2008,4,1,28,B27
2008,4,1,29,B28
2008,4,1,30,B29
2008,4,1,31,B31
2008,4,1,32,B32
2008,4,1,33,B33
2008,4,1,34,B34
2008,4,1,35,C50
2008,4,1,36,C49
2008,4,1,37,P1
2008,4,1,38,P4
2008,4,1,1,C5
2008,4,1,2,C16
2008,4,1,1,A15
2008,4,1,2,C35
2008,4,1,3,C2
2008,4,1,4,A15
2008,4,1,5,A15
2008,4,1,6,A2
2008,4,1,1,C1
2008,4,1,1,C6
2008,4,1,1,P12
2008,4,1,2,P11
2008,4,1,3,P35
2008,4,1,4,P25
2008,4,1,5,P39
2008,4,1,6,P46
2008,4,1,1,C8
2008,4,1,2,C5
2008,4,1,3,C6
2008,4,1,1,A11
2008,4,1,2,A8
2008,4,1,3,B15
2008,4,1,4,B10
2008,4,1,5,B13
2008,4,1,6,B7
2008,4,1,7,C4
2008,4,1,8,C14
2008,4,1,9,C10
2008,4,1,1,B4
2008,4,1,2,B10
2008,4,1,3,B9
2008,4,1,4,B2
2008,4,1,1,A6
2008,4,1,2,C48
2008,4,1,1,P1
2008,4,1,2,P16
2008,4,1,3,P17
2008,4,1,4,C53
2008,4,1,1,A11
2008,4,1,1,A10
2008,4,1,2,A2
2008,4,1,3,A6
2008,4,1,1,A13
2008,4,1,2,A21
2008,4,1,3,A21
2008,4,1,4,A33
2008,4,1,5,A41
2008,4,1,6,A31
2008,4,1,7,P4
2008,4,1,8,P9
2008,4,1,9,P10
2008,4,1,10,P81
2008,4,1,11,A21
2008,4,1,12,A28
2008,4,1,13,A31
2008,4,1,14,A33
2008,4,1,15,A41
2008,4,1,1,B4
2008,4,1,2,A3
2008,4,1,3,A3
2008,4,1,4,P1
2008,4,1,5,P4
2008,4,1,6,P17
2008,4,1,1,A5
2008,4,1,2,A7
2008,4,1,3,P8
2008,4,1,4,P1
2008,4,1,1,A1
2008,4,1,2,A4
2008,4,1,3,C14
2008,4,1,4,C7
2008,4,1,1,P1
2008,4,1,2,P2
2008,4,1,3,C2
2008,4,1,4,C54
2008,4,1,1,C5
2008,4,1,2,C56
2008,4,1,3,P26
2008,4,1,4,P29
2008,4,1,5,P80
2008,4,1,1,B31
2008,4,1,2,P1
2008,4,1,3,P43
2008,4,1,1,A11
2008,4,1,2,A3
2008,4,1,3,B17
2008,4,1,4,C35
2008,4,1,1,A1
2008,4,1,2,A2
2008,4,1,3,A3
2008,4,1,4,A13
2008,4,1,5,A15
2008,4,1,6,A17
2008,4,1,7,C7
2008,4,1,8,C4
2008,4,1,9,C58
2008,4,1,10,B27
2008,4,1,11,B27
2008,4,1,12,C58
2008,4,1,13,C4
2008,4,1,14,C7
2008,4,1,15,A17
2008,4,1,16,A15
2008,4,1,17,A13
2008,4,1,18,A3
2008,4,1,19,A4
2008,4,1,1,P17
2008,4,1,1,B14
2008,4,1,2,B10
2008,4,1,3,B12
2008,4,1,4,B11
2008,4,1,5,B22
2008,4,1,6,B23
2008,4,1,1,A12
2008,4,1,2,A5
2008,4,1,3,P6
2008,4,1,4,P14
2008,4,1,1,P1
2008,4,1,1,C14
2008,4,1,1,P12
2008,4,1,2,P15
2008,4,1,3,C2
2008,4,1,4,C13
2008,4,1,1,B10
2008,4,1,2,C6
2008,4,1,3,A2
2008,4,1,4,P23
2008,4,1,5,C50
2008,4,1,6,C6
2008,4,1,1,B3
2008,4,1,2,B9
2008,4,1,3,A21
2008,4,1,4,B24
2008,4,1,1,A16
2008,4,1,2,A17
2008,4,1,1,C3
2008,4,1,1,P15
2008,4,1,2,C1
2008,4,1,3,C5
2008,4,1,4,C8
2008,4,1,5,C17
2008,4,1,6,C41
2008,4,1,7,C53
2008,4,1,8,C46
2008,4,1,9,C31
2008,4,1,10,C6
2008,4,1,11,C7
2008,4,1,12,C5
2008,4,1,13,C15
2008,4,1,14,B1
2008,4,1,15,B16
2008,4,1,16,B13
2008,4,1,17,B25
2008,4,1,18,B26
2008,4,1,19,A30
2008,4,1,20,A37
2008,4,1,21,P1
2008,4,1,22,P2
2008,4,1,23,P38
2008,4,1,24,P43
2008,4,1,25,P46
2008,4,1,26,P47
2008,4,1,27,P44
2008,4,1,28,P49
2008,4,1,29,P59
2008,4,1,30,P60
2008,4,1,31,P3
2008,4,1,32,P1
2008,4,1,1,B32
2008,4,1,1,A31
2008,4,1,2,P48
2008,4,1,1,P1
2008,4,1,2,P34
2008,4,1,3,P65
2008,4,1,1,C6
2008,4,1,1,P12
2008,4,1,2,C9
2008,4,1,3,C3
2008,4,1,4,C38
2008,4,1,5,C48
2008,4,1,6,C38
2008,4,1,1,C5
2008,4,1,2,C16
2008,4,1,3,C6
2008,4,1,1,A28
2008,4,1,2,A42
2008,4,1,3,A4
2008,4,1,4,C26
2008,4,1,1,B3
2008,4,1,2,B24
2008,4,1,3,B26
2008,4,1,4,B31
2008,4,1,5,B32
2008,4,1,6,C6
2008,4,1,1,B28
2008,4,1,1,C1
2008,4,1,2,C5
2008,4,1,3,C8
2008,4,1,4,C10
2008,4,1,5,C17
2008,4,1,1,C12
2008,4,1,2,C44
2008,4,1,3,C44
2008,4,1,4,C45
2008,4,1,5,C21
2008,4,1,6,C33
2008,4,1,7,C21
2008,4,1,8,P15
2008,4,1,9,C12
2008,4,1,10,C54
2008,4,1,11,C54
2008,4,1,12,C59
2008,4,1,13,C47
2008,4,1,14,C38
2008,4,1,15,C38
2008,4,1,16,C21
2008,4,1,17,C1
2008,4,1,18,C4
2008,4,1,19,C26
2008,4,1,20,C21
2008,4,1,21,C20
2008,4,1,22,C20
2008,4,1,23,C27
2008,4,1,24,C12
2008,4,1,25,C38
2008,4,1,26,C44
2008,4,1,27,C33
2008,4,1,28,C50
2008,4,1,29,C45
2008,4,1,30,C20
2008,4,1,31,C12
2008,4,1,32,C28
2008,4,1,33,C43
2008,4,1,34,P23
2008,4,1,35,P19
2008,4,1,36,P39
2008,4,1,37,P42
2008,4,1,38,P44
2008,4,1,39,P49
2008,4,1,40,P60
2008,4,1,41,P58
2008,4,1,42,C4
2008,4,1,43,P6
2008,4,1,44,P44
2008,4,1,45,P37
2008,4,1,46,P46
2008,4,1,47,P48
2008,4,1,48,P67
2008,4,1,49,P70
2008,4,1,1,B10
2008,4,1,1,A4
2008,4,1,2,A11
2008,4,1,3,A10
2008,4,1,4,A6
2008,4,1,5,A23
2008,4,1,6,B2
2008,4,1,7,B4
2008,4,1,8,B11
2008,4,1,9,B13
2008,4,1,10,B24
2008,4,1,11,B32
2008,4,1,1,A17
2008,4,1,2,C15
2008,4,1,3,C8
2008,4,1,4,C9
2008,4,1,5,A18
2008,4,1,6,A6
2008,4,1,7,A2
2008,4,1,8,C9
2008,4,1,1,P15
2008,4,1,2,B2
2008,4,1,3,B9
2008,4,1,4,B26
2008,4,1,5,B21
2008,4,1,6,B20
2008,4,1,1,A5
2008,4,1,2,A13
2008,4,1,3,A13
2008,4,1,4,A15
2008,4,1,5,A17
2008,4,1,6,B4
2008,4,1,7,A17
2008,4,1,8,B10
2008,4,1,9,B11
2008,4,1,10,B11
2008,4,1,11,B12
2008,4,1,12,B13
2008,4,1,13,B14
2008,4,1,14,B22
2008,4,1,15,B24
2008,4,1,16,B25
2008,4,1,17,B26
2008,4,1,18,B29
2008,4,1,19,B32
2008,4,1,20,P1
2008,4,1,21,P4
2008,4,1,22,P6
2008,4,1,23,P10
2008,4,1,24,P16
2008,4,1,25,P23
2008,4,1,26,P23
2008,4,1,27,P33
2008,4,1,1,A4
2008,4,1,2,P5
2008,4,1,3,P2
2008,4,1,4,P16
2008,4,1,5,P17
2008,4,1,6,P21
2008,4,1,7,P34
2008,4,1,8,P34
2008,4,1,9,P34
2008,4,1,10,P34
2008,4,1,11,P49
2008,4,1,12,P26
2008,4,1,1,B2
2008,4,1,1,B10
2008,4,1,1,P3
2008,4,1,2,A33
2008,4,1,3,A30
2008,4,1,4,P3
2008,4,1,1,P39
2008,4,1,2,A10
2008,4,1,1,B6
2008,4,1,2,B29
2008,4,1,3,B30
2008,4,1,1,A15
2008,4,1,1,C36
2008,4,1,2,C21
2008,4,1,3,C40
2008,4,1,4,C44
2008,4,1,5,B11
2008,4,1,6,A17
2008,4,1,7,A2
2008,4,1,8,P5
2008,4,1,9,P7
2008,4,1,10,P43
2008,4,1,11,P72
2008,4,1,12,P73
2008,4,1,13,A2
2008,4,1,14,A17
2008,4,1,1,P6
2008,4,1,2,P9
2008,4,1,3,P5
2008,4,1,4,P4
2008,4,1,5,P14
2008,4,1,6,P15
2008,4,1,7,P17
2008,4,1,8,P11
2008,4,1,9,P9
2008,4,1,1,A1
2008,4,1,2,A2
2008,4,1,3,A3
2008,4,1,4,A4
2008,4,1,5,A5
2008,4,1,6,A6
2008,4,1,7,A7
2008,4,1,8,A9
2008,4,1,9,B1
2008,4,1,10,B2
2008,4,1,11,B9
2008,4,1,12,B8
2008,4,1,13,B7
2008,4,1,14,B5
2008,4,1,15,B4
2008,4,1,16,B3
2008,4,1,17,C1
2008,4,1,18,C5
2008,4,1,1,A1
2008,4,1,2,A11
2008,4,1,3,A6
2008,4,1,4,A17
2008,4,1,5,A16
2008,4,1,6,A15
2008,4,1,7,A12
2008,4,1,8,A19
2008,4,1,9,A21
2008,4,1,10,A34
